Date,Away Team,Away Score,Home Team,Home Score,Season,Notes,Day,Winner,Loser
07-08-2015,New York Liberty,77,Chicago Sky,63,2015,,Friday,New York Liberty,Chicago Sky
07-08-2015,Washington Mystics,72,Connecticut Sun,86,2015,,Friday,Connecticut Sun,Washington Mystics
07-08-2015,Atlanta Dream,77,Indiana Fever,106,2015,,Friday,Atlanta Dream,Indiana Fever
07-08-2015,Minnesota Lynx,66,Phoenix Mercury,73,2015,,Friday,Phoenix Mercury,Minnesota Lynx
08-08-2015,Seattle Storm,81,San Antonio Silver Stars,88,2015,,Saturday,San Antonio Silver Stars,Seattle Storm
09-08-2015,Phoenix Mercury,64,Chicago Sky,74,2015,,Sunday,Chicago Sky,Phoenix Mercury
09-08-2015,Los Angeles Sparks,64,Minnesota Lynx,72,2015,,Sunday,Minnesota Lynx,Los Angeles Sparks
09-08-2015,Atlanta Dream,98,Tulsa Shock,90,2015,,Sunday,Atlanta Dream,Tulsa Shock
09-08-2015,Connecticut Sun,73,Washington Mystics,84,2015,,Sunday,Washington Mystics,Connecticut Sun
11-08-2015,Seattle Storm,85,Los Angeles Sparks,77,2015,,Tuesday,Seattle Storm,Los Angeles Sparks
11-08-2015,San Antonio Silver Stars,76,Minnesota Lynx,83,2015,,Tuesday,Minnesota Lynx,San Antonio Silver Stars
11-08-2015,Chicago Sky,63,New York Liberty,84,2015,,Tuesday,New York Liberty,Chicago Sky
11-08-2015,Indiana Fever,73,Washington Mystics,62,2015,,Tuesday,Indiana Fever,Washington Mystics
12-08-2015,Tulsa Shock,74,Connecticut Sun,80,2015,,Wednesday,Connecticut Sun,Tulsa Shock
12-08-2015,Seattle Storm,66,Phoenix Mercury,83,2015,,Wednesday,Phoenix Mercury,Seattle Storm
14-08-2015,Minnesota Lynx,84,Atlanta Dream,82,2015,,Friday,Minnesota Lynx,Atlanta Dream
14-08-2015,New York Liberty,90,Connecticut Sun,78,2015,,Friday,New York Liberty,Connecticut Sun
14-08-2015,Chicago Sky,94,Seattle Storm,84,2015,,Friday,Chicago Sky,Seattle Storm
15-08-2015,Tulsa Shock,81,New York Liberty,76,2015,,Saturday,Tulsa Shock,New York Liberty
16-08-2015,Connecticut Sun,77,Atlanta Dream,90,2015,,Sunday,Atlanta Dream,Connecticut Sun
16-08-2015,Chicago Sky,64,Los Angeles Sparks,76,2015,,Sunday,Los Angeles Sparks,Chicago Sky
16-08-2015,Indiana Fever,75,Phoenix Mercury,63,2015,,Sunday,Indiana Fever,Phoenix Mercury
16-08-2015,San Antonio Silver Stars,63,Seattle Storm,72,2015,,Sunday,Seattle Storm,San Antonio Silver Stars
16-08-2015,Minnesota Lynx,69,Washington Mystics,77,2015,,Sunday,Washington Mystics,Minnesota Lynx
18-08-2015,Indiana Fever,79,Los Angeles Sparks,68,2015,,Tuesday,Indiana Fever,Los Angeles Sparks
18-08-2015,Phoenix Mercury,59,Tulsa Shock,74,2015,,Tuesday,Tulsa Shock,Phoenix Mercury
19-08-2015,Washington Mystics,79,Minnesota Lynx,61,2015,,Wednesday,Washington Mystics,Minnesota Lynx
19-08-2015,New York Liberty,73,San Antonio Silver Stars,45,2015,,Wednesday,New York Liberty,San Antonio Silver Stars
21-08-2015,Washington Mystics,85,Chicago Sky,87,2015,,Friday,Chicago Sky,Washington Mystics
21-08-2015,Atlanta Dream,67,New York Liberty,78,2015,,Friday,New York Liberty,Atlanta Dream
21-08-2015,Los Angeles Sparks,78,Phoenix Mercury,68,2015,,Friday,Los Angeles Sparks,Phoenix Mercury
21-08-2015,Minnesota Lynx,78,San Antonio Silver Stars,61,2015,,Friday,Minnesota Lynx,San Antonio Silver Stars
21-08-2015,Indiana Fever,75,Seattle Storm,63,2015,,Friday,Indiana Fever,Seattle Storm
21-08-2015,Connecticut Sun,76,Tulsa Shock,84,2015,,Friday,Tulsa Shock,Connecticut Sun
23-08-2015,Atlanta Dream,102,Connecticut Sun,92,2015,,Sunday,Connecticut Sun,Atlanta Dream
23-08-2015,New York Liberty,79,Indiana Fever,80,2015,,Sunday,Indiana Fever,New York Liberty
23-08-2015,Minnesota Lynx,67,Phoenix Mercury,79,2015,,Sunday,Phoenix Mercury,Minnesota Lynx
23-08-2015,Los Angeles Sparks,90,San Antonio Silver Stars,59,2015,,Sunday,Los Angeles Sparks,San Antonio Silver Stars
23-08-2015,Chicago Sky,66,Washington Mystics,64,2015,,Sunday,Chicago Sky,Washington Mystics
25-08-2015,Connecticut Sun,57,Atlanta Dream,71,2015,,Tuesday,Atlanta Dream,Connecticut Sun
26-08-2015,Los Angeles Sparks,81,Indiana Fever,79,2015,,Wednesday,Los Angeles Sparks,Indiana Fever
27-08-2015,Phoenix Mercury,81,Connecticut Sun,80,2015,,Thursday,Phoenix Mercury,Connecticut Sun
28-08-2015,Atlanta Dream,90,Indiana Fever,84,2015,,Friday,Atlanta Dream,Indiana Fever
28-08-2015,Minnesota Lynx,68,New York Liberty,81,2015,,Friday,New York Liberty,Minnesota Lynx
28-08-2015,San Antonio Silver Stars,69,Seattle Storm,83,2015,,Friday,Seattle Storm,San Antonio Silver Stars
28-08-2015,Los Angeles Sparks,66,Tulsa Shock,76,2015,,Friday,Tulsa Shock,Los Angeles Sparks
28-08-2015,Phoenix Mercury,63,Washington Mystics,71,2015,,Friday,Washington Mystics,Phoenix Mercury
29-08-2015,Chicago Sky,98,Atlanta Dream,96,2015,,Saturday,Chicago Sky,Atlanta Dream
29-08-2015,New York Liberty,80,Connecticut Sun,66,2015,,Saturday,New York Liberty,Connecticut Sun
30-08-2015,Connecticut Sun,72,Chicago Sky,68,2015,,Sunday,Connecticut Sun,Chicago Sky
30-08-2015,San Antonio Silver Stars,52,Los Angeles Sparks,60,2015,,Sunday,Los Angeles Sparks,San Antonio Silver Stars
